THOOMPUMKAL TRADERS
PUTHENCAVU P O             CHENGANNUR 689123 ALAPPUZHA DIST.
Stock Ledger - Item
Date:,31/12/2024
Show:,All Items
Stock Valuation:,PTS
Item Code:,All Item Code
Item Code,Item Name,Total On Hand Qty,Total SIT Qty,Conversion Unit,Reporting UOM,UOM Description,Total On Hand Value,Total SIT Value,Saleable Stock,Saleable SIT Qty,Saleable Value,Saleable SIT Value,Free OnHand Qty,Free SIT Qty,Damages Qty,Damages Value,Total On Hand Qty_UOM1,Total On Hand Qty_UOM2,Total SIT Qty_UOM1,Total SIT Qty_UOM2,Saleable SIT Qty_UOM1,Saleable SIT Qty_UOM2,Free SIT Qty_UOM1,Free SIT Qty_UOM2
21123,AIM YELLOW WM 25s_21123,10.800000 M_S,13.800000 M_S,48.600000 1,10.80,M_S,0.00,9303.96,10.80,13.80,7281.36,9303.96,0.00,0.00,0.00,0.00,18.000000 CFC,1080.000000 PAC,23.000000 CFC,1380.000000 PAC,23.00,1380.00,0.00,0.00
21091,AIM YELLOW 25s_21091,0.000000 M_S,0.000000 M_S,0.000000 1,0.00,M_S,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.000000 CFC,0.000000 PAC,0.000000 CFC,0.000000 PAC,0.00,0.00,0.00,0.00
21092,AIM YELLOW WM 25s_21092,0.000000 M_S,0.000000 M_S,0.000000 1,0.00,M_S,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.000000 CFC,0.000000 PAC,0.000000 CFC,0.000000 PAC,0.00,0.00,0.00,0.00
9700,AIM (YELLOW)_,0.000000 M_S,0.000000 M_S,0.000000 1,0.00,PAC,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.000000 CFC,0.000000 PAC,0.000000 CFC,0.000000 PAC,0.00,0.00,0.00,0.00
9701,AIM YELLOW_9701,0.000000 M_S,0.000000 M_S,0.000000 1,0.00,M_S,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.000000 CFC,0.000000 PAC,0.000000 CFC,0.000000 PAC,0.00,0.00,0.00,0.00
9823,CHEETA FIGHT WAX_9823,0.000000 M_S,0.000000 M_S,0.000000 1,0.00,M_S,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.000000 CFC,0.000000 PAC,0.000000 CFC,0.000000 PAC,0.00,0.00,0.00,0.00
21102,HOMELITES Rs1 25s_21102,0.000000 M_S,0.000000 M_S,0.000000 1,0.00,M_S,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.000000 CFC,0.000000 PAC,0.000000 CFC,0.000000 PAC,0.00,0.00,0.00,0.00
21133,HOMELITES Rs1 25s_21133,0.600000 M_S,0.600000 M_S,3.102000 1,0.60,M_S,0.00,425.63,0.60,0.60,425.63,425.63,0.00,0.00,0.00,0.00,1.000000 CFC,60.000000 PAC,1.000000 CFC,60.000000 PAC,1.00,60.00,0.00,0.00
9988,HOMELITES PVC 6 in 1_9988,0.000000 M_S,0.000000 M_S,0.000000 1,0.00,M_S,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.000000 CFC,0.000000 PAC,0.000000 CFC,0.000000 PAC,0.00,0.00,0.00,0.00
9852,Homelites-100p-50s-_9852,0.000000 M_S,0.000000 M_S,0.000000 1,0.00,M_S,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.000000 CFC,0.000000 PAC,0.000000 CFC,0.000000 PAC,0.00,0.00,0.00,0.00
9853,Homelites-500p-240s_,0.000000 M_S,0.000000 M_S,0.000000 1,0.00,PAC,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.000000 CFC,0.000000 PAC,0.000000 CFC,0.000000 PAC,0.00,0.00,0.00,0.00
21181,Homelites Rs.10 200s_21181,0.300000 M_S,0.400000 M_S,13.800000 1,0.30,M_S,0.00,2670.98,0.30,0.40,2003.23,2670.98,0.00,0.00,0.00,0.00,3.000000 CFC,300.000000 PAC,4.000000 CFC,400.000000 PAC,4.00,400.00,0.00,0.00
21084,Homelites Rs.10 210s_21084,0.048000 M_S,5.200000 M_S,2.448000 1,0.05,M_S,0.00,34722.69,0.05,5.20,320.52,34722.69,0.00,0.00,0.00,0.00,0.480000 CFC,48.000000 PAC,52.000000 CFC,5200.000000 PAC,52.00,5200.00,0.00,0.00
21034,Homelites Rs.10 220s_21034,0.000000 M_S,0.000000 M_S,0.000000 1,0.00,M_S,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.000000 CFC,0.000000 PAC,0.000000 CFC,0.000000 PAC,0.00,0.00,0.00,0.00
9998,HOMELITES SMALL 40S FR_9998,0.000000 M_S,0.000000 M_S,0.000000 1,0.00,M_S,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.000000 CFC,0.000000 PAC,0.000000 CFC,0.000000 PAC,0.00,0.00,0.00,0.00
